NUMBER OF SCRIPLESS SHARES BASED ON INVESTOR TYPE AND CLASSIFICATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL SCRIPLESS
DATE;SHARE CODE;ISSUER NAME;BANK;GOVERNMENT;PRIVATE EQUITY;TRUSTEE BANK;VENTURE CAPITAL;PRIVATE BANK;EXCHANGE TRADED FUNDS;INVESTMENT MANAGER;INVESTMENT ADVISORS;BROKERAGE FIRMS;HEDGE FUND;SOVEREIGN WEALTH FUND;CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS;COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP;FIRM;INVESTMENT FUND SELLING AGENT;PEER TO PEER LENDING;PERMANENT ESTABLISHMENT;SOLE PROPRIETORSHIP;CORPORATE;ASSOCIATION/SOCIAL ORGANIZATIONS;STATE OWNED ENTERPRISES;CENTRAL BANK;STATE OWNED COMPANY;DIOCESE;CONFERENCE;CONGREGATION;COOPERATIVES;INTERNATIONAL ORGANIZATION;POLITICAL PARTIES;PARTNERSHIP;EDUCATIONAL INSTITUTION;MUTUAL FUNDS (MF);SECURITIES COMPANY (SC);PENSION FUNDS (PF);FINANCIAL INSTITUTIONAL (IB);INSURANCE (IS);FOUNDATION (FD);INDIVIDUAL (ID);
31-Mar-2026;AADI;ADARO ANDALAN INDONESIA Tbk;33,148,251;2,508,508;1,761,653;18,134,057;641;10,109,851;57,786,074;691,850;62,982,912;675,450;88,061,566;12,041,273;45,966,114;1,481,896;255,547;0;0;0;1,754;5,054,269,518;200;0;665,300;2,712,399;20,000;75,000;0;75;0;0;191,000;6;348,044,287;19,493,000;75,669,753;100,756,362;124,228,560;4,764,134;1,720,394,769;7,786,891,760
31-Mar-2026;AALI;ASTRA AGRO LESTARI Tbk;14,218,557;2,907,810;276,900;4,023,214;0;3,057,566;14,174,010;373,622;18,983,527;2,633,614;537,500;3,698,288;1,454,323;34,000;53,500;0;0;0;0;34,128,939;0;13,683,700;52,000;444,910;0;0;0;700;14,900;0;4,766,427;93,900;42,367,203;4,760,832;32,557,839;246,276;51,659,216;3,985,612;135,608,208;390,797,093
31-Mar-2026;ABBA;MAHAKA MEDIA Tbk;629,886;0;0;0;0;1,690,000;0;0;100;0;0;0;100;0;16,327,299;0;0;0;0;2,351,791,406;0;0;0;0;0;0;0;0;0;0;0;0;0;1,754,723;0;39,999,999;0;71;1,065,462,748;3,477,656,332
31-Mar-2026;ABDA;ASURANSI BINA DANA ARTA Tbk;28,003,598;20;21,728,234;0;0;2,000;0;30,499,400;16;0;0;0;100;0;0;0;0;0;0;44,057;0;0;0;0;0;0;0;0;0;0;0;0;0;11,850;0;0;538,555,304;440,734;483,757;619,769,070
31-Mar-2026;ABMM;ABM INVESTAMA Tbk;3,549,132;42,100;43,000;0;127,000;1,000,000;2,622,000;675,400;6,696,217;12;0;93,400;20,100;53,500;114,300;0;0;0;0;2,197,653,000;0;0;0;1,000;0;0;0;0;0;0;68,965;0;110,388,073;4,283,227;4,244,274;206,800;1,847,600;0;419,435,900;2,753,165,000
31-Mar-2026;ACES;ASPIRASI HIDUP INDONESIA Tbk;114,318,092;35,560,900;38,498,900;511,982,900;30,200;24,030,100;186,055,379;5,380,000;379,421,819;2,234,809;172,752,200;151,104,400;2,999,809;416,200;420,000;0;0;0;529,100;11,105,407,418;3,800;0;640,912;15,616,600;0;0;0;1,089,000;1,700,000;0;0;12,255,124;1,028,907,610;114,439,506;261,586,999;9,285,900;409,082,200;21,152,332;2,513,387,491;17,120,289,700
31-Mar-2026;ACRO;SAMCRO HYOSUNG ADILESTARI Tbk;1,561,000;0;0;0;0;0;0;0;11,585,100;0;0;0;0;4,700;0;0;0;0;0;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;105,402;0;0;0;0;3,456,064,335;3,469,345,537
31-Mar-2026;ACST;ACSET INDONUSA Tbk;1,888,020;80;0;0;0;1,427,124;0;16,000;5,655,100;20;0;0;6,100;228,400;0;0;0;67;0;16,221,149,988;0;0;0;0;0;0;0;0;0;0;0;0;0;1,792,386;0;0;0;0;1,442,996,715;17,675,160,000
31-Mar-2026;ADCP;ADHI COMMUTER PROPERTI Tbk;572,600;0;0;0;0;0;0;0;21,544,900;0;0;0;100;0;0;0;0;0;0;450,680,900;0;0;0;0;0;0;0;147,078,400;0;0;0;0;0;1,772,700;1,200,000;0;0;900;1,599,371,700;2,222,222,200
31-Mar-2026;ADES;AKASHA WIRA INTERNATIONAL Tbk;3,923,150;0;10,000;61,400;0;122,200;0;0;22,800;97;0;0;2,200;0;0;0;0;0;0;542,062,477;0;0;0;0;0;0;0;0;0;0;0;0;453,300;434,071;60,300;56,200;0;0;42,000,177;589,208,372
31-Mar-2026;ADHI;ADHI KARYA (PERSERO) Tbk;7,289,453;3,414,087;814,100;0;0;8,000,000;5,789,369;18,000;7,534,807;3,006;0;226,107;2,039,202;1,400,084;17,000;0;0;0;0;325,873,552;0;260,820;2,359,600;3,260,000;0;0;20,000;964,900;0;0;0;0;17,512,291;256,315,378;50,370,880;0;22,825,359;15,300,335;2,267,216,857;2,998,825,187
31-Mar-2026;ADMF;ADIRA DINAMIKA MULTI FINANCE Tbk;920,954,338;3,074;0;0;0;233,757,759;0;3,768,900;68,906;17,247;168,500;0;219,911;0;14,900;0;0;0;0;712,888;0;0;0;0;0;0;0;0;0;0;0;0;8,602,100;4,719,023;464,831;9,845,654;5,082,393;8,671;47,294,014;1,235,703,109
31-Mar-2026;ADMG;POLYCHEM INDONESIA Tbk;2,634,847;0;0;0;0;2,000,000;0;0;1,296,500;62;0;0;1,435,881;0;0;0;0;0;0;1,399,506,593;0;100;0;0;0;0;0;0;0;0;1,925,414,417;0;83;4,821,823;2,290,400;0;1,030,000;0;504,840,087;3,845,270,793
31-Mar-2026;ADMR;ALAMTRI MINERALS INDONESIA Tbk;39,754,711;5,303,500;18,970,800;9,433,500;2,500;10,834,700;49,670,248;9,925,300;648,163,880;2,901;0;165,913,900;12,881,005;2,075,300;12,000;0;4,000;0;0;36,412,815,333;0;0;920,900;18,246,800;113,800;800,000;0;0;0;0;196,500;0;1,066,786,499;15,429,124;260,314,030;3,451,894;564,086,200;28,429,900;1,537,792,275;40,882,331,500
31-Mar-2026;ADRO;ALAMTRI RESOURCES INDONESIA Tbk;241,082,446;51,854,800;11,000,763;89,834,300;5,000;31,752,589;761,195,885;35,592,200;147,014,543;11,575,179;11,477,800;84,661,492;56,512,883;6,210,010;13,320,200;0;0;292;7,700;17,065,893,036;2,900;12,152,200;5,481,900;26,020,000;270,000;400,000;0;4,700;293,000;0;98,224,115;422,000;1,795,770,560;55,484,241;412,344,078;46,683,686;595,904,432;47,099,300;7,674,141,170;29,389,689,400
31-Mar-2026;AEGS;ANUGERAH SPAREPARTS SEJAHTERA Tbk;698,200;0;0;0;0;0;0;0;0;0;0;0;0;9,667,000;0;0;0;0;0;1,519,000;0;0;0;0;0;0;0;0;0;0;0;0;0;58,800,025;0;0;0;0;935,396,496;1,006,080,721
31-Mar-2026;AGAR;ASIA SEJAHTERA MINA Tbk;0;0;0;0;0;0;0;0;190,100;0;0;0;100;0;0;0;0;0;0;798,985,300;0;0;0;0;0;0;0;0;0;0;0;0;0;163,800;0;0;0;0;200,660,700;1,000,000,000
31-Mar-2026;AGII;SAMATOR INDO GAS Tbk;3,918,400;0;993,795,720;0;0;9,000,000;642,800;0;3,343,100;200,000;0;0;74,500;26,700;0;0;0;0;1,500;1,109,992,129;0;0;0;0;0;0;0;0;0;0;0;0;36,458,500;8,260,060;0;0;0;100;69,803,491;2,235,517,000
31-Mar-2026;AGRO;BANK RAYA INDONESIA Tbk;21,312,559,686;0;100;0;93;1,000,000;0;250,000;10,788,200;80;0;0;284,852;1,529,400;199,517;0;0;0;92,200;126,033,380;0;0;0;0;0;0;0;894,971;0;0;0;50,000;5,898,598;5,385,015;602,651,003;0;0;2,444,957;2,413,415,341;24,483,477,393
31-Mar-2026;AGRS;BANK IBK INDONESIA Tbk;33,091,500;0;214;0;0;4,702,910,654;0;0;15,580,300;1;0;0;1,619,300;469,881;12,084,200;0;0;0;0;388,150,277;0;0;0;0;0;0;0;0;0;0;0;0;0;1,416,516,788;0;0;0;481;1,705,725,233;8,276,148,829
31-Mar-2026;AHAP;ASURANSI HARTA AMAN PRATAMA Tbk;13,134,600;0;0;0;0;231;0;0;10,842,300;56;0;0;100;0;1,409,900;0;0;0;0;49,759,976;50,000;0;0;0;0;0;0;0;0;0;0;0;0;367,736;0;103,341;3,130,429,009;66;1,689,561,827;4,895,659,142
31-Mar-2026;AIMS;ARTHA MAHIYA INVESTAMA Tbk;0;0;0;0;0;0;0;0;68,556,991;0;0;0;100;0;0;0;0;0;0;68,992,851;0;0;0;0;0;0;0;0;0;0;0;0;0;28,400;0;0;0;0;82,271,658;219,850,000
31-Mar-2026;AISA;FKS FOOD SEJAHTERA Tbk;332,101;50;10,400;0;189,880,957;159,181,700;0;230,000;18,551,600;149,149;0;0;381,811;1,860;0;0;0;500;0;7,111,887,791;0;0;0;0;0;0;0;8,794,615;0;0;0;0;6,400,913;10,409,113;6,277,700;0;169,631,429;160;1,629,050,651;9,311,172,500
31-Mar-2026;AKKU;ANUGERAH KAGUM KARYA UTAMA Tbk;0;0;72,535,100;0;195,289,000;0;0;0;23,000,000;0;0;0;100;0;2,701,540,900;0;0;0;0;2,818,123,200;0;1,900;0;0;0;0;0;0;0;0;0;0;0;2,704,700;0;0;0;6,900;636,261,836;6,449,463,636
31-Mar-2026;AKPI;ARGHA KARYA PRIMA INDUSTRY Tbk;270;0;10,000;0;0;0;0;0;49,600;533;0;0;100;0;0;0;0;0;0;146,212,673;0;0;0;0;0;0;0;0;0;0;0;0;17,500;80,522;34;0;4,000;0;100,889,807;247,265,039
